0.000952991163992,
0.00109741021323,
0.000500093730016,
0.000154278744844,
0.000785681998947,
0.00105907999478,
0.000868259205165,
0.000445481273819,
0.00108076734432,
0.000592540443885,
0.00048996744925,
0.00100192549134,
0.00130322606812,
0.00100202247834,
0.000673342413748,
0.000709203510803,
0.00121383287044,
0.00049952268211,
0.000968793293731,
0.000988455636375,
0.000617268764508,
5.5141359299e-05,
0.000993406568939,
6.31908545725e-05,
0.00120374461429,
0.00111719036832,
0.00116488124574,
7.74199180111e-05,
0.0010099491901,
0.0013354779438,
0.00101638784084,
0.000755881019364,
0.00119136245317,
0.000779839066038,
0.000126760606175,
0.000183472127149,
0.000500804079533,
0.000584523500368,
0.00211735072549,
0.001016932495,
0.000816116361705,
0.000979445983815,
0.000592051228787,
0.00109624737635,
0.00154384415739,
0.000609204091713,
0.00100200621143,
0.000626307540207,
0.00116512865438,
0.00050052805726,
0.000114925842843,
0.00111598572101,
0.00135785603488,
0.000454324488637,
0.000100690300865,
0.00127904874111,
0.00124406342052,
0.000642157885406,
0.00138071704507,
0.0013943868232,
0.000871467656621,
