,P_Ben,P_Del,P_Inc,P_Dec,AvgFitness
0,0.014500000000000001,0.42109999999999997,0.46089999999999998,0.015599999999999999,9.9999999999999994e-12
1,0.014500000000000001,0.42109999999999997,0.16800000000000001,0.33110000000000001,0.0001435122000493295
2,0.014500000000000001,0.87749999999999995,0.16800000000000001,0.015599999999999999,9.381611389532626e-05
3,0.41889999999999999,0.42109999999999997,0.16800000000000001,0.015599999999999999,9.9999999999999994e-12
4,0.26889999999999997,0.72750000000000004,0.46089999999999998,0.15709999999999999,0.00050593879580459208
5,0.014500000000000001,0.83130000000000004,0.46089999999999998,0.0591,0.014470286476419214
6,0.38400000000000001,0.58650000000000002,0.56120000000000003,0.4128,7.5260293073464661e-05
7,0.37430000000000002,0.60919999999999996,0.6159,0.31019999999999998,0.046378266798847247
8,0.3609,0.5706,0.50309999999999999,0.4456,0.00039269513415509364
9,0.48949999999999999,0.504,0.5111,0.39979999999999999,0.0001950549643911435
10,0.42430000000000001,0.55710000000000004,0.52580000000000005,0.39000000000000001,0.001684275224074313
11,0.55520000000000003,0.3891,0.49359999999999998,0.46439999999999998,0.00023098962062478054
12,0.40789999999999998,0.50580000000000003,0.72099999999999997,0.24879999999999999,0.0011275234252181054
13,0.51570000000000005,0.4496,0.45889999999999997,0.5091,6.8870188393088845e-05
14,0.26889999999999997,0.72750000000000004,0.46089999999999998,0.015599999999999999,0.00019745077444079039
15,0.014500000000000001,0.42109999999999997,0.16800000000000001,0.015599999999999999,4.9993309273540968e-05
16,0.4209,0.51249999999999996,0.56240000000000001,0.34639999999999999,1.7464824205857031e-05
17,0.44750000000000001,0.53969999999999996,0.47739999999999999,0.48120000000000002,0.00075893924370609505
18,0.44840000000000002,0.46710000000000002,0.70940000000000003,0.25890000000000002,4.9997802560380101e-06
19,0.52229999999999999,0.4496,0.2112,0.70809999999999995,2.9496811369632766e-05
20,0.56850000000000001,0.40760000000000002,0.49990000000000001,0.45550000000000002,0.0012206208571353507
21,0.44379999999999997,0.5383,0.54269999999999996,0.40600000000000003,0.00085520029855422613
22,0.48320000000000002,0.45679999999999998,0.1928,0.72099999999999997,5.9884054691915213e-05
23,0.41889999999999999,0.42109999999999997,0.16800000000000001,0.015599999999999999,0.00014333984601930716
24,0.69279999999999997,0.2429,0.30590000000000001,0.68120000000000003,0.0021112091817218665
25,0.32529999999999998,0.62519999999999998,0.39739999999999998,0.56950000000000001,9.990448026225927e-06
26,0.41239999999999999,0.58420000000000005,0.45419999999999999,0.5081,0.00017575745760524058
27,0.7046,0.24479999999999999,0.31680000000000003,0.64280000000000004,5.0001230910495373e-05
28,0.442,0.51219999999999999,0.35759999999999997,0.46939999999999998,9.9999999999999994e-12
29,0.37640000000000001,0.60229999999999995,0.47910000000000003,0.50939999999999996,0.011942442121593427
30,0.014500000000000001,0.42109999999999997,0.46089999999999998,0.015599999999999999,9.9999999999999994e-12
31,0.014500000000000001,0.87749999999999995,0.16800000000000001,0.015599999999999999,0.0767098274406081
32,0.52680000000000005,0.4622,0.48270000000000002,0.51500000000000001,0.0001
33,0.45839999999999997,0.53180000000000005,0.4425,0.49490000000000001,0.0009179556966210186
34,0.50080000000000002,0.45929999999999999,0.60719999999999996,0.33779999999999999,0.031578496776249902
35,0.44119999999999998,0.47870000000000001,0.42959999999999998,0.4713,9.9975685988730519e-05
36,0.29349999999999998,0.62590000000000001,0.52100000000000002,0.4627,9.9999999999999994e-12
37,0.21909999999999999,0.73640000000000005,0.55249999999999999,0.3916,0.002535935993015939
38,0.38990000000000002,0.56559999999999999,0.68979999999999997,0.23599999999999999,0.027879414756972809
39,0.39529999999999998,0.59560000000000002,0.623,0.31040000000000001,0.00020035309818915135
40,0.51539999999999997,0.39050000000000001,0.32729999999999998,0.59619999999999995,0.0075836698912206445
41,0.50649999999999995,0.3947,0.40810000000000002,0.50149999999999995,0.0035824388554762492
42,0.37359999999999999,0.53080000000000005,0.71130000000000004,0.22989999999999999,0.00015671220062554213
43,0.31140000000000001,0.68520000000000003,0.60570000000000002,0.29070000000000001,0.03555365026851335
44,0.47260000000000002,0.43070000000000003,0.34539999999999998,0.61960000000000004,5.0000000000000004e-06
45,0.40150000000000002,0.54120000000000001,0.4642,0.46310000000000001,0.00047418054155839436
46,0.41560000000000002,0.4919,0.62150000000000005,0.31440000000000001,0.00044038630928830338
47,0.4844,0.50580000000000003,0.56100000000000005,0.43730000000000002,0.0031040576791557957
48,0.41139999999999999,0.50590000000000002,0.22459999999999999,0.75819999999999999,0.0036846629826886943
49,0.46850000000000003,0.45540000000000003,0.29399999999999998,0.63819999999999999,0.027160549737240889
50,0.31669999999999998,0.66520000000000001,0.36430000000000001,0.57720000000000005,0.0094582552279316636
51,0.32069999999999999,0.59619999999999995,0.49380000000000002,0.50429999999999997,0.0016162056505419388
52,0.46400000000000002,0.49890000000000001,0.71299999999999997,0.28689999999999999,9.0147166692417346e-05
53,0.42120000000000002,0.53080000000000005,0.62849999999999995,0.30349999999999999,0.0021806920600179322
54,0.37690000000000001,0.53159999999999996,0.64639999999999997,0.29759999999999998,1.0000000000000001e-05
55,0.43259999999999998,0.51480000000000004,0.48699999999999999,0.42999999999999999,0.0091218269818555599
56,0.51790000000000003,0.47920000000000001,0.4168,0.55059999999999998,0.0057399364066885554
57,0.36549999999999999,0.54269999999999996,0.56230000000000002,0.40620000000000001,5.0080938876204973e-05
58,0.50319999999999998,0.48349999999999999,0.41599999999999998,0.50690000000000002,0.0018027830780385594
59,0.38450000000000001,0.54379999999999995,0.69259999999999999,0.26529999999999998,0.021961761748604536
60,0.014500000000000001,0.87749999999999995,0.46089999999999998,0.15709999999999999,0.00018252801358451505
61,0.50039999999999996,0.43330000000000002,0.32569999999999999,0.60399999999999998,0.0001
