#mut,pm+,pm-,pim,pdm,msc,col
0.0000001,0.01,0.99,0.0,0.0,1,LightGray
0.000001,0.01,0.99,0.0,0.0,1,Gray
0.00001,0.01,0.99,0.0,0.0,1,LightSkyBlue
0.0001,0.01,0.99,0.0,0.0,1,RoyalBlue
0.001,0.01,0.99,0.0,0.0,1,LightSeaGreen
0.005,0.01,0.99,0.0,0.0,1,MediumSeaGreen
0.01,0.01,0.99,0.0,0.0,1,Khaki
0.05,0.01,0.99,0.0,0.0,1,Goldenrod
0.1,0.01,0.99,0.0,0.0,1,Tomato
0.2,0.01,0.99,0.0,0.0,1,PaleVioletRed
0.5,0.01,0.99,0.0,0.0,1,DarkViolet
