#mut  pm+  pm-  pim  pdm  msc col
0.0025 0.01 0.99 0.5 0.5 0.00001 LightGray
0.0025 0.01 0.99 0.5 0.5 0.0001 Gray
0.0025 0.01 0.99 0.5 0.5 0.001 LightSkyBlue
0.0025 0.01 0.99 0.5 0.5 0.01 RoyalBlue
0.0025 0.01 0.99 0.5 0.5 0.1 LightSeaGreen
0.0025 0.01 0.99 0.5 0.5 1 MediumSeaGreen
0.0025 0.01 0.99 0.5 0.5 10 Khaki
0.0025 0.01 0.99 0.5 0.5 20 Goldenrod
0.0025 0.01 0.99 0.5 0.5 50 Tomato
0.0025 0.01 0.99 0.5 0.5 100 PaleVioletRed
0.0025 0.01 0.99 0.5 0.5 500 DarkViolet
