0.0001 10 DarkViolet
0.0001 10 DarkViolet
0.0001 17 DarkViolet
0.0001 2 DarkViolet
0.0001 2 DarkViolet
0.0001 2 DarkViolet
0.0001 2 DarkViolet
0.0001 2 DarkViolet
0.0001 3 DarkViolet
0.0001 3 DarkViolet
0.0001 3 DarkViolet
0.0001 3 DarkViolet
0.0001 3 DarkViolet
0.0001 4 DarkViolet
0.0001 5 DarkViolet
0.0001 6 DarkViolet
0.0001 6 DarkViolet
0.0001 7 DarkViolet
0.0001 9 DarkViolet
0.0001 9 DarkViolet
0.0002 1381 DarkViolet
0.0002 16 DarkViolet
0.0002 2 DarkViolet
0.0002 2 DarkViolet
0.0002 3 DarkViolet
0.0002 4 DarkViolet
0.0002 512 DarkViolet
0.0002 51 DarkViolet
0.0002 9 DarkViolet
0.0003 26 DarkViolet
0.0003 2 DarkViolet
0.0003 2 DarkViolet
0.0003 2 DarkViolet
0.0003 2 DarkViolet
0.0003 3 DarkViolet
0.0003 3 DarkViolet
0.0003 4 DarkViolet
0.0003 5 DarkViolet
0.0003 5 DarkViolet
0.0003 5 DarkViolet
0.0003 7 DarkViolet
0.0004 13 DarkViolet
0.0004 3 DarkViolet
0.0004 3 DarkViolet
0.0004 4 DarkViolet
0.0004 4 DarkViolet
0.0004 6 DarkViolet
0.0004 7 DarkViolet
0.0005 102 DarkViolet
0.0005 103 DarkViolet
0.0005 10 DarkViolet
0.0005 115 DarkViolet
0.0005 11 DarkViolet
0.0005 11 DarkViolet
0.0005 11 DarkViolet
0.0005 11 DarkViolet
0.0005 12 DarkViolet
0.0005 131 DarkViolet
0.0005 13 DarkViolet
0.0005 17 DarkViolet
0.0005 184 DarkViolet
0.0005 18 DarkViolet
0.0005 18 DarkViolet
0.0005 20 DarkViolet
0.0005 21246 DarkViolet
0.0005 21 DarkViolet
0.0005 228 DarkViolet
0.0005 22 DarkViolet
0.0005 22 DarkViolet
0.0005 24 DarkViolet
0.0005 25 DarkViolet
0.0005 272 DarkViolet
0.0005 29 DarkViolet
0.0005 29 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 2 DarkViolet
0.0005 31 DarkViolet
0.0005 31 DarkViolet
0.0005 32 DarkViolet
0.0005 33 DarkViolet
0.0005 33 DarkViolet
0.0005 36 DarkViolet
0.0005 38 DarkViolet
0.0005 38 DarkViolet
0.0005 39 DarkViolet
0.0005 39 DarkViolet
0.0005 3 DarkViolet
0.0005 3 DarkViolet
0.0005 3 DarkViolet
0.0005 403 DarkViolet
0.0005 43 DarkViolet
0.0005 45 DarkViolet
0.0005 4 DarkViolet
0.0005 4 DarkViolet
0.0005 4 DarkViolet
0.0005 54 DarkViolet
0.0005 55 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 5 DarkViolet
0.0005 618 DarkViolet
0.0005 6 DarkViolet
0.0005 6 DarkViolet
0.0005 7111 DarkViolet
0.0005 77 DarkViolet
0.0005 79 DarkViolet
0.0005 79 DarkViolet
0.0005 7 DarkViolet
0.0005 8820 DarkViolet
0.0005 8 DarkViolet
0.0005 8 DarkViolet
0.0005 8 DarkViolet
0.0005 8 DarkViolet
0.0005 97337 DarkViolet
0.0005 98 DarkViolet
0.0005 9 DarkViolet
0.0005 9 DarkViolet
0.0005 9 DarkViolet
0.0006 10 DarkViolet
0.0006 12 DarkViolet
0.0006 13 DarkViolet
0.0006 21 DarkViolet
0.0006 2 DarkViolet
0.0006 2 DarkViolet
0.0006 6 DarkViolet
0.0006 8 DarkViolet
0.0007 2 DarkViolet
0.0007 31 DarkViolet
0.0007 3 DarkViolet
0.0007 4 DarkViolet
0.0008 10 DarkViolet
0.0008 27 DarkViolet
0.0008 2 DarkViolet
0.0008 2 DarkViolet
0.0008 2 DarkViolet
0.0008 3 DarkViolet
0.0008 3 DarkViolet
0.0008 4 DarkViolet
0.0008 5 DarkViolet
0.0008 9 DarkViolet
0.0009 103233 DarkViolet
0.0009 11 DarkViolet
0.0009 12 DarkViolet
0.0009 136 DarkViolet
0.0009 15 DarkViolet
0.0009 23 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 2 DarkViolet
0.0009 30693 DarkViolet
0.0009 374 DarkViolet
0.0009 3 DarkViolet
0.0009 5 DarkViolet
0.0009 5 DarkViolet
0.0009 5 DarkViolet
0.0009 6 DarkViolet
0.0009 6 DarkViolet
0.0009 72 DarkViolet
