#mut  pm+  pm-  pim  pdm  msc col
0.0000001 0.01 0.99 0.5 0.5 10 LightGray
0.000001 0.01 0.99 0.5 0.5 10 Gray
0.00001 0.01 0.99 0.5 0.5 10 LightSkyBlue
0.0001 0.01 0.99 0.5 0.5 10 RoyalBlue
0.001 0.01 0.99 0.5 0.5 10 LightSeaGreen
0.005 0.01 0.99 0.5 0.5 10 MediumSeaGreen
0.01 0.01 0.99 0.5 0.5 10 Khaki
0.05 0.01 0.99 0.5 0.5 10 Goldenrod
0.1 0.01 0.99 0.5 0.5 10 Tomato
0.2 0.01 0.99 0.5 0.5 10 PaleVioletRed
0.5 0.01 0.99 0.5 0.5 10 DarkViolet
